Dataset,categorical_indices,Encoding Method,Method,Imbalance Ratio,Archetype Setting,Minority Sample Setting,Use Archetypes,Seed,n_folds,classification_report,Weighted F1 Score
diabetes,[],ordinal,adasyn,0.2,None,None,False,5081,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.758242  0.826347  0.790831  167.000000           0.707851     1  5081
1             1   0.608108  0.505618  0.552147   89.000000           0.707851     1  5081
2      accuracy   0.714844  0.714844  0.714844    0.714844           0.707851     1  5081
3     macro avg   0.683175  0.665983  0.671489  256.000000           0.707851     1  5081
4  weighted avg   0.706047  0.714844  0.707851  256.000000           0.707851     1  5081
0             0   0.743842  0.904192  0.816216  167.000000           0.713627     2  5081
1             1   0.698113  0.415730  0.521127   89.000000           0.713627     2  5081
2      accuracy   0.734375  0.734375  0.734375    0.734375           0.713627     2  5081
3     macro avg   0.720978  0.659961  0.668671  256.000000           0.713627     2  5081
4  weighted avg   0.727944  0.734375  0.713627  256.000000           0.713627     2  5081
0             0   0.728205  0.855422  0.786704  166.000000           0.682417     3  5081
1             1   0.606557  0.411111  0.490066   90.000000           0.682417     3  5081
2      accuracy   0.699219  0.699219  0.699219    0.699219           0.682417     3  5081
3     macro avg   0.667381  0.633266  0.638385  256.000000           0.682417     3  5081
4  weighted avg   0.685438  0.699219  0.682417  256.000000           0.682417     3  5081",0.7078510632921405
diabetes,[],ordinal,adasyn,0.25,None,None,False,5081,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.825301  0.820359  0.822823  167.000000           0.769829     1  5081
1             1   0.666667  0.674157  0.670391   89.000000           0.769829     1  5081
2      accuracy   0.769531  0.769531  0.769531    0.769531           0.769829     1  5081
3     macro avg   0.745984  0.747258  0.746607  256.000000           0.769829     1  5081
4  weighted avg   0.770151  0.769531  0.769829  256.000000           0.769829     1  5081
0             0   0.760417  0.874251  0.813370  167.000000           0.726012     2  5081
1             1   0.671875  0.483146  0.562092   89.000000           0.726012     2  5081
2      accuracy   0.738281  0.738281  0.738281    0.738281           0.726012     2  5081
3     macro avg   0.716146  0.678699  0.687731  256.000000           0.726012     2  5081
4  weighted avg   0.729635  0.738281  0.726012  256.000000           0.726012     2  5081
0             0   0.774194  0.867470  0.818182  166.000000           0.741477     3  5081
1             1   0.685714  0.533333  0.600000   90.000000           0.741477     3  5081
2      accuracy   0.750000  0.750000  0.750000    0.750000           0.741477     3  5081
3     macro avg   0.729954  0.700402  0.709091  256.000000           0.741477     3  5081
4  weighted avg   0.743088  0.750000  0.741477  256.000000           0.741477     3  5081",0.7698289682839264
diabetes,[],ordinal,adasyn,0.15,None,None,False,9412,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.754098  0.831325  0.790831  166.000000           0.706919     1  9412
1             1   0.616438  0.500000  0.552147   90.000000           0.706919     1  9412
2      accuracy   0.714844  0.714844  0.714844    0.714844           0.706919     1  9412
3     macro avg   0.685268  0.665663  0.671489  256.000000           0.706919     1  9412
4  weighted avg   0.705702  0.714844  0.706919  256.000000           0.706919     1  9412
0             0   0.789189  0.874251  0.829545  167.000000           0.758434     2  9412
1             1   0.704225  0.561798  0.625000   89.000000           0.758434     2  9412
2      accuracy   0.765625  0.765625  0.765625    0.765625           0.758434     2  9412
3     macro avg   0.746707  0.718025  0.727273  256.000000           0.758434     2  9412
4  weighted avg   0.759651  0.765625  0.758434  256.000000           0.758434     2  9412
0             0   0.762626  0.904192  0.827397  167.000000           0.738408     3  9412
1             1   0.724138  0.471910  0.571429   89.000000           0.738408     3  9412
2      accuracy   0.753906  0.753906  0.753906    0.753906           0.738408     3  9412
3     macro avg   0.743382  0.688051  0.699413  256.000000           0.738408     3  9412
4  weighted avg   0.749246  0.753906  0.738408  256.000000           0.738408     3  9412",0.706918705064426
diabetes,[],ordinal,adasyn,0.2,None,None,False,9412,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.754098  0.831325  0.790831  166.000000           0.706919     1  9412
1             1   0.616438  0.500000  0.552147   90.000000           0.706919     1  9412
2      accuracy   0.714844  0.714844  0.714844    0.714844           0.706919     1  9412
3     macro avg   0.685268  0.665663  0.671489  256.000000           0.706919     1  9412
4  weighted avg   0.705702  0.714844  0.706919  256.000000           0.706919     1  9412
0             0   0.789189  0.874251  0.829545  167.000000           0.758434     2  9412
1             1   0.704225  0.561798  0.625000   89.000000           0.758434     2  9412
2      accuracy   0.765625  0.765625  0.765625    0.765625           0.758434     2  9412
3     macro avg   0.746707  0.718025  0.727273  256.000000           0.758434     2  9412
4  weighted avg   0.759651  0.765625  0.758434  256.000000           0.758434     2  9412
0             0   0.762626  0.904192  0.827397  167.000000           0.738408     3  9412
1             1   0.724138  0.471910  0.571429   89.000000           0.738408     3  9412
2      accuracy   0.753906  0.753906  0.753906    0.753906           0.738408     3  9412
3     macro avg   0.743382  0.688051  0.699413  256.000000           0.738408     3  9412
4  weighted avg   0.749246  0.753906  0.738408  256.000000           0.738408     3  9412",0.706918705064426
diabetes,[],ordinal,adasyn,0.25,None,None,False,9412,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.739130  0.819277  0.777143  166.000000           0.686220     1  9412
1             1   0.583333  0.466667  0.518519   90.000000           0.686220     1  9412
2      accuracy   0.695312  0.695312  0.695312    0.695312           0.686220     1  9412
3     macro avg   0.661232  0.642972  0.647831  256.000000           0.686220     1  9412
4  weighted avg   0.684358  0.695312  0.686220  256.000000           0.686220     1  9412
0             0   0.810056  0.868263  0.838150  167.000000           0.777137     2  9412
1             1   0.714286  0.617978  0.662651   89.000000           0.777137     2  9412
2      accuracy   0.781250  0.781250  0.781250    0.781250           0.777137     2  9412
3     macro avg   0.762171  0.743121  0.750400  256.000000           0.777137     2  9412
4  weighted avg   0.776761  0.781250  0.777137  256.000000           0.777137     2  9412
0             0   0.790055  0.856287  0.821839  167.000000           0.752347     3  9412
1             1   0.680000  0.573034  0.621951   89.000000           0.752347     3  9412
2      accuracy   0.757812  0.757812  0.757812    0.757812           0.752347     3  9412
3     macro avg   0.735028  0.714661  0.721895  256.000000           0.752347     3  9412
4  weighted avg   0.751794  0.757812  0.752347  256.000000           0.752347     3  9412",0.686220238095238
diabetes,[],ordinal,adasyn,0.15,None,None,False,9730,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.787709  0.849398  0.817391  166.000000           0.748964     1  9730
1             1   0.675325  0.577778  0.622754   90.000000           0.748964     1  9730
2      accuracy   0.753906  0.753906  0.753906    0.753906           0.748964     1  9730
3     macro avg   0.731517  0.713588  0.720073  256.000000           0.748964     1  9730
4  weighted avg   0.748199  0.753906  0.748964  256.000000           0.748964     1  9730
0             0   0.755556  0.814371  0.783862  167.000000           0.700978     2  9730
1             1   0.592105  0.505618  0.545455   89.000000           0.700978     2  9730
2      accuracy   0.707031  0.707031  0.707031    0.707031           0.700978     2  9730
3     macro avg   0.673830  0.659995  0.664658  256.000000           0.700978     2  9730
4  weighted avg   0.698731  0.707031  0.700978  256.000000           0.700978     2  9730
0             0   0.742268  0.862275  0.797784  167.000000           0.700013     3  9730
1             1   0.629032  0.438202  0.516556   89.000000           0.700013     3  9730
2      accuracy   0.714844  0.714844  0.714844    0.714844           0.700013     3  9730
3     macro avg   0.685650  0.650239  0.657170  256.000000           0.700013     3  9730
4  weighted avg   0.702901  0.714844  0.700013  256.000000           0.700013     3  9730",0.7489642996615465
diabetes,[],ordinal,adasyn,0.2,None,None,False,9730,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.787709  0.849398  0.817391  166.000000           0.748964     1  9730
1             1   0.675325  0.577778  0.622754   90.000000           0.748964     1  9730
2      accuracy   0.753906  0.753906  0.753906    0.753906           0.748964     1  9730
3     macro avg   0.731517  0.713588  0.720073  256.000000           0.748964     1  9730
4  weighted avg   0.748199  0.753906  0.748964  256.000000           0.748964     1  9730
0             0   0.755556  0.814371  0.783862  167.000000           0.700978     2  9730
1             1   0.592105  0.505618  0.545455   89.000000           0.700978     2  9730
2      accuracy   0.707031  0.707031  0.707031    0.707031           0.700978     2  9730
3     macro avg   0.673830  0.659995  0.664658  256.000000           0.700978     2  9730
4  weighted avg   0.698731  0.707031  0.700978  256.000000           0.700978     2  9730
0             0   0.742268  0.862275  0.797784  167.000000           0.700013     3  9730
1             1   0.629032  0.438202  0.516556   89.000000           0.700013     3  9730
2      accuracy   0.714844  0.714844  0.714844    0.714844           0.700013     3  9730
3     macro avg   0.685650  0.650239  0.657170  256.000000           0.700013     3  9730
4  weighted avg   0.702901  0.714844  0.700013  256.000000           0.700013     3  9730",0.7489642996615465
diabetes,[],ordinal,adasyn,0.25,None,None,False,9730,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.790055  0.861446  0.824207  166.000000           0.756038     1  9730
1             1   0.693333  0.577778  0.630303   90.000000           0.756038     1  9730
2      accuracy   0.761719  0.761719  0.761719    0.761719           0.756038     1  9730
3     macro avg   0.741694  0.719612  0.727255  256.000000           0.756038     1  9730
4  weighted avg   0.756051  0.761719  0.756038  256.000000           0.756038     1  9730
0             0   0.800000  0.814371  0.807122  167.000000           0.745048     2  9730
1             1   0.639535  0.617978  0.628571   89.000000           0.745048     2  9730
2      accuracy   0.746094  0.746094  0.746094    0.746094           0.745048     2  9730
3     macro avg   0.719767  0.716174  0.717847  256.000000           0.745048     2  9730
4  weighted avg   0.744213  0.746094  0.745048  256.000000           0.745048     2  9730
0             0   0.751351  0.832335  0.789773  167.000000           0.702069     3  9730
1             1   0.605634  0.483146  0.537500   89.000000           0.702069     3  9730
2      accuracy   0.710938  0.710938  0.710938    0.710938           0.702069     3  9730
3     macro avg   0.678493  0.657741  0.663636  256.000000           0.702069     3  9730
4  weighted avg   0.700692  0.710938  0.702069  256.000000           0.702069     3  9730",0.7560379552004192
diabetes,[],ordinal,adasyn,0.15,None,None,False,6936,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.784211  0.892216  0.834734  167.000000           0.759856     1  6936
1             1   0.727273  0.539326  0.619355   89.000000           0.759856     1  6936
2      accuracy   0.769531  0.769531  0.769531    0.769531           0.759856     1  6936
3     macro avg   0.755742  0.715771  0.727044  256.000000           0.759856     1  6936
4  weighted avg   0.764416  0.769531  0.759856  256.000000           0.759856     1  6936
0             0   0.820359  0.820359  0.820359  167.000000           0.765625     2  6936
1             1   0.662921  0.662921  0.662921   89.000000           0.765625     2  6936
2      accuracy   0.765625  0.765625  0.765625    0.765625           0.765625     2  6936
3     macro avg   0.741640  0.741640  0.741640  256.000000           0.765625     2  6936
4  weighted avg   0.765625  0.765625  0.765625  256.000000           0.765625     2  6936
0             0   0.758824  0.777108  0.767857  166.000000           0.693664     3  6936
1             1   0.569767  0.544444  0.556818   90.000000           0.693664     3  6936
2      accuracy   0.695312  0.695312  0.695312    0.695312           0.693664     3  6936
3     macro avg   0.664295  0.660776  0.662338  256.000000           0.693664     3  6936
4  weighted avg   0.692358  0.695312  0.693664  256.000000           0.693664     3  6936",0.7598560190205115
diabetes,[],ordinal,adasyn,0.2,None,None,False,6936,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.784211  0.892216  0.834734  167.000000           0.759856     1  6936
1             1   0.727273  0.539326  0.619355   89.000000           0.759856     1  6936
2      accuracy   0.769531  0.769531  0.769531    0.769531           0.759856     1  6936
3     macro avg   0.755742  0.715771  0.727044  256.000000           0.759856     1  6936
4  weighted avg   0.764416  0.769531  0.759856  256.000000           0.759856     1  6936
0             0   0.820359  0.820359  0.820359  167.000000           0.765625     2  6936
1             1   0.662921  0.662921  0.662921   89.000000           0.765625     2  6936
2      accuracy   0.765625  0.765625  0.765625    0.765625           0.765625     2  6936
3     macro avg   0.741640  0.741640  0.741640  256.000000           0.765625     2  6936
4  weighted avg   0.765625  0.765625  0.765625  256.000000           0.765625     2  6936
0             0   0.758824  0.777108  0.767857  166.000000           0.693664     3  6936
1             1   0.569767  0.544444  0.556818   90.000000           0.693664     3  6936
2      accuracy   0.695312  0.695312  0.695312    0.695312           0.693664     3  6936
3     macro avg   0.664295  0.660776  0.662338  256.000000           0.693664     3  6936
4  weighted avg   0.692358  0.695312  0.693664  256.000000           0.693664     3  6936",0.7598560190205115
diabetes,[],ordinal,adasyn,0.25,None,None,False,6936,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.768041  0.892216  0.825485  167.000000           0.741107     1  6936
1             1   0.709677  0.494382  0.582781   89.000000           0.741107     1  6936
2      accuracy   0.753906  0.753906  0.753906    0.753906           0.741107     1  6936
3     macro avg   0.738859  0.693299  0.704133  256.000000           0.741107     1  6936
4  weighted avg   0.747751  0.753906  0.741107  256.000000           0.741107     1  6936
0             0   0.832258  0.772455  0.801242  167.000000           0.753236     2  6936
1             1   0.623762  0.707865  0.663158   89.000000           0.753236     2  6936
2      accuracy   0.750000  0.750000  0.750000    0.750000           0.753236     2  6936
3     macro avg   0.728010  0.740160  0.732200  256.000000           0.753236     2  6936
4  weighted avg   0.759773  0.750000  0.753236  256.000000           0.753236     2  6936
0             0   0.787879  0.783133  0.785498  166.000000           0.723003     3  6936
1             1   0.604396  0.611111  0.607735   90.000000           0.723003     3  6936
2      accuracy   0.722656  0.722656  0.722656    0.722656           0.723003     3  6936
3     macro avg   0.696137  0.697122  0.696617  256.000000           0.723003     3  6936
4  weighted avg   0.723373  0.722656  0.723003  256.000000           0.723003     3  6936",0.7411074427638459
diabetes,[],ordinal,adasyn,0.15,None,None,False,9283,3,"          class  precision    recall  f1-score     support  Weighted F1 Score  fold  seed
0             0   0.793651  0.898204  0.842697  167.000000           0.772584     1  9283
1             1   0.746269  0.561798  0.641026   89.000000           0.772584     1  9283
2      accuracy   0.781250  0.781250  0.781250    0.781250           0.772584     1  9283
3     macro avg   0.769960  0.730001  0.741861  256.000000           0.772584     1  9283
4  weighted avg   0.777178  0.781250  0.772584  256.000000           0.772584     1  9283
0             0   0.771739  0.850299  0.809117  167.000000           0.730802     2  9283
1             1   0.652778  0.528090  0.583851   89.000000           0.730802     2  9283
2      accuracy   0.738281  0.738281  0.738281    0.738281           0.730802     2  9283
3     macro avg   0.712258  0.689195  0.696484  256.000000           0.730802     2  9283
4  weighted avg   0.730381  0.738281  0.730802  256.000000           0.730802     2  9283
0             0   0.728205  0.855422  0.786704  166.000000           0.682417     3  9283
1             1   0.606557  0.411111  0.490066   90.000000           0.682417     3  9283
2      accuracy   0.699219  0.699219  0.699219    0.699219           0.682417     3  9283
3     macro avg   0.667381  0.633266  0.638385  256.000000           0.682417     3  9283
4  weighted avg   0.685438  0.699219  0.682417  256.000000           0.682417     3  9283",0.7725844497263037
